step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
26,0.00026000000000000003,NLR,1.0,0.017949625995242968,0.05311169299238827,0.0004205110017210245,2.720000338740647e-06,0.002334432750287899,0.0008865459351849629,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8422882943199264e-05,4.0766001685454967e-17,0.00033299211637550466,0.01435407811909295,-0.00012247526029107313,0.21857045918542034,0,0.0,0.25792766879843604,0.0,0.25792766879843604,2.541098841762901e-20,0.00026000000000000003,1,1e-05
27,0.00027,NLR,1.0,0.019924109990824945,0.04868908900243696,0.00038949800364207476,2.4830078473314643e-06,0.002325624430246116,0.0008734103833339388,nan,nan,,0.0,nan,nan,nan,nan,0,,1.842415132741792e-05,3.8163916471489756e-17,0.00033300022719614223,0.014354343909814826,-0.00012248451252915414,0.21857450263651024,0,0.0,0.26706391733261364,0.0,0.26706391733261364,2.541098841762901e-20,0.00027000000000000006,1,1e-05
28,0.00028000000000000003,NLR,1.0,0.01922804598871153,0.048413577998871915,0.00035764099447987974,2.4470064090564847e-06,0.0023158614153376907,0.0008600037640057638,nan,nan,,0.0,nan,nan,nan,nan,0,,1.842541219975389e-05,3.8163916471489756e-17,0.0003330082959718127,0.014354608300246596,-0.00012249369322821387,0.21857852477686082,0,0.0,0.2761037089784073,0.0,0.2761037089784073,-2.879912020664621e-20,0.00028000000000000003,1,1e-05
29,0.00029,NLR,1.0,0.02409820500179194,0.048778805998153985,0.0008676330035086721,3.995010047219694e-06,0.002305183097768912,0.0008463827286573917,nan,nan,,0.0,nan,nan,nan,nan,0,,1.842666522619911e-05,4.0115480381963664e-17,0.00033301632069344516,0.014354871227529875,-0.0001225027996120149,0.21858252464986258,0,0.0,0.2850432229627558,0.0,0.2850432229627558,7.962109704190423e-20,0.0002900000000000001,1,1e-05
30,0.00030000000000000003,NLR,1.0,0.02242363800178282,0.052353856997797266,0.0003460500010987744,2.454995410516858e-06,0.0022936334021135987,0.0008326057386193672,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8427910099954188e-05,4.0115480381963664e-17,0.00033302429951549505,0.01435513263414534,-0.00012251182859791455,0.21858650138014915,0,0.0,0.2938788031764272,0.0,0.2938788031764272,2.541098841762901e-20,0.00030000000000000014,1,1e-05
31,0.00031,NLR,1.0,0.02038330800132826,0.050990352989174426,0.0013922920043114573,4.081011866219342e-06,0.0022812603013285747,0.0008187324120987502,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8429146542535684e-05,3.9898639947466563e-17,0.00033303223076240645,0.014355392468107464,-0.00012252077746890023,0.218590454176559,0,0.0,0.30260697832380407,0.0,0.30260697832380407,2.541098841762901e-20,0.00031000000000000016,1,1e-05
32,0.00032,NLR,1.0,0.019564734000596218,0.04642377300478984,0.00033701299980748445,2.1859887056052685e-06,0.00226811526393924,0.000804822830072294,nan,nan,,0.0,nan,nan,nan,nan,0,,1.843037430430815e-05,3.9898639947466563e-17,0.00033304011293307917,0.0143556506830953,-0.00012252964404444852,0.2185943823341177,0,0.0,0.31122448061984104,0.0,0.31122448061984104,2.541098841762901e-20,0.0003200000000000002,1,1e-05
33,0.00033000000000000005,NLR,1.0,0.01794450699526351,0.04909953600144945,0.00034208600118290633,2.0279985619708896e-06,0.002254252645453232,0.0007909368154066773,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8431593165314725e-05,3.7730235602495554e-17,0.00033304794470326917,0.014355907238513987,-0.00012253842602089583,0.2185982852349971,0,0.0,0.3197282627536691,0.0,0.3197282627536691,2.541098841762901e-20,0.0003300000000000002,1,1e-05
34,0.00034,NLR,1.0,0.017599120998056605,0.04834166799264494,0.0003300579992355779,2.16200714930892e-06,0.0022397290392250674,0.0007771332008889188,nan,nan,,0.0,nan,nan,nan,nan,0,,1.843280293496737e-05,4.163336342344337e-17,0.0003330557249259695,0.014356162099494307,-0.0001225471216095294,0.21860216234850102,0,0.0,0.32811551287181967,0.0,0.32811551287181967,7.962109704190423e-20,0.0003400000000000003,1,1e-05
35,0.00035000000000000005,NLR,1.0,0.01598176900006365,0.04615961700619664,0.00033329300640616566,2.3169995984062552e-06,0.0022246025982073135,0.0007634691023072855,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8434003452093307e-05,3.9898639947466563e-17,0.0003330634526297887,0.014356415236826736,-0.00012255572911665892,0.2186060132300239,0,0.0,0.3363836673745959,0.0,0.3363836673745959,2.541098841762901e-20,0.0003500000000000003,1,1e-05
